cdscode,freq1617
1611190106401,132
1611190130229,632
1611190132142,534
1611190134304,73
1611196090054,268
1611196090112,148
1611196110779,61
1611680132746,87
1611760130062,1039
1611760130138,42
1611760134270,991
1611760134452,300
1611760135244,943
1611760138693,1682
1611766056873,444
1611766056881,268
1611766056907,546
1611766056915,599
1611766056923,549
1611920133009,58
1611920133629,767
1611920135319,951
1611920138339,591
1611926056931,292
1611926056949,244
1611926056956,222
1611926056972,233
1611926066476,334
1611926113815,17
1612340130054,761
1612590106906,196
1612750130286,31
1612750136515,514
1612756066492,220
1612910137588,908
1612916057111,311
1612916066518,275
1750930125930,474
1750930132704,908
1750930138453,18
1750936066484,269
2613336002794,20
3100330129692,22
3100330330035,5
3739810330019,18
3739810330753,156
3739810334755,164
3739816107387,132
3739816107395,94
4755070433946,17
4755070433953,149
4755076003164,136
5615640530022,28
5615640531509,345
5615646105431,401
5615726003461,161
5615806111884,127
6615980631259,178
6615986057152,110
7100740114470,450
7616480730861,141
7616486113104,236
7616636003669,161
7617056003719,158
7617210107797,1173
7617210730457,1176
7617210730572,51
7617210733980,1138
7617210733998,101
7617390730440,45
7617390730549,537
7617396057186,326
7617476003925,210
7617880125435,221
7617880730184,45
7617880735407,996
7617886061162,295
7617886084966,229
7617960730291,267
7617960730325,87
7617960730598,936
7617960732164,992
7617960732941,842
7617960733253,153
7617960733659,601
7617960735316,782
7617960735902,541
7617966004857,110
7617966057228,516
7617966057236,240
7617966057244,285
7617966061170,319
7617966119515,169
7617966120885,308
7618040108324,417
7618040113118,1458
7618040116541,386
7618040730051,1301
7618040730218,61
7618040734368,1101
7618040736504,819
7618040736819,45
7618046005078,334
7618046005110,191
7618046005144,205
7618046097166,311
7618046113336,310
7618046117451,342
9618460123125,33
9618466005482,74
9618530930081,1012
9618530930164,422
9618530930214,24
9618530932756,583
9618530934554,25
9618530936302,830
9618796109698,51
9618876005516,203
9619030937805,367
9619036005565,318
9619296005615,202
9619526005649,212
9619606107437,112
9619780101519,187
9619786103527,238
9737830930073,431
10101081030337,135
10101081030899,41
10621251031376,901
10621256057269,449
10621256113849,156
10621581032150,272
10621586115190,181
10624301036607,55
10624301036672,305
10624306111124,416
10625136007405,119
10738091030121,297
10738096006019,177
10739650123943,387
10739651030386,30
10739651030626,1480
10739651035112,27
10739656006662,50
10739656006936,321
10739656120539,379
10751271030261,4
10751271030493,323
10751271030725,5
10751276006977,201
10752750124123,75
10752751030139,8
10752751036938,129
10755981030535,245
10755986005813,70
12626870107110,55
12626871230044,35
12626871230051,11
12626871230705,328
12626871235209,190
12628100108688,93
12628101233352,63
12628101233402,626
12628286116289,46
12629016007967,28
12629016007975,12
12629016007991,37
12629506008064,115
12630400129114,61
12753741232909,127
12753746007843,86
12753821230085,11
12753826008049,11
12755150127407,92
12755151232057,56
12755151232206,446
12755156057376,222
12768026007868,49
12768026008148,42
13101320131094,66
13630736008262,392
13630811331354,66
13630811331404,645
13630990112318,298
13630991332154,115
13630991332204,1396
13630996111587,288
13631071332501,162
13631076008395,84
13631151330133,1008
13631151333004,789
13631151333558,61
13631316008502,105
13631641335900,527
13631646008569,221
13631986008619,46
13632141337609,83
13632146106298,43
13632226008643,25
13632306008650,42
14101401430073,4
14632481431352,6
14632486008692,10
14632711438308,1
14632891434901,16
14632896008775,26
14632971436203,9
14632976008791,7
14633056008809,8
14766871431600,108
14766876008700,143
15633136008817,203
15633210129189,68
15633216008841,137
15633216008916,57
15633216008957,260
15633216009005,31
15633216009021,47
15633216009153,157
15633216009179,155
15633216111264,359
15633216114284,24
15634206009419,21
15635290100198,978
15635290110999,1009
15635290116392,777
15635290116400,816
15635290125062,71
15635291530021,44
15635291530047,73
15635291530112,119
15635291530252,1007
15635291530344,951
15635291530369,869
15635291530385,994
15635291530435,236
15635291530476,945
15635291530708,1116
15635291532290,953
15635291532605,723
15635291533330,882
15635291533538,184
15635291534775,534
15635291535087,568
15635291535392,825
15635291536325,100
15635291536606,829
15635786010003,661
15636771534460,78
15637926010094,154
15638261530245,8
15638261536135,156
15638266057426,258
15735446010011,110
15739081530146,40
15739081534155,380
15739086106306,177
16638836010292,159
16638836010300,66
16638836010326,53
16639176010391,23
16639176010458,176
16639176112379,83
16639336010466,28
16639820110205,118
16639821630011,4
16639821635606,647
16739326010573,29
16739326109888,436
17640141734359,344
17640146107791,218
17640220132571,95
17640221735000,591
17640226109706,15
17640301732304,269
17640306010649,286
17640486010656,41
17640551736008,299
17640556107049,220
17769761730175,1
17769761737006,112
17769766108773,64
18640891831601,73
18641056010730,26
18641136010748,28
18641391833805,668
18641626010763,47
18641706010797,25
18641886010805,20
18641966010813,98
18642041830132,90
18642041838507,58
18750360121657,29
18750361833409,25
18750366010714,5
19101990121772,229
19101990121897,91
19101990127498,232
19642121930056,1068
19642121930361,644
19642121931641,74
19642121931880,483
19642121933159,1084
19642126057442,272
19642126057459,277
19642126061220,218
19642126061238,192
19642126066708,331
19642460100081,1128
19642460108407,1013
19642460111872,210
19642461930213,699
19642461931732,198
19642461936624,1023
19642461937051,1233
19642461995398,1064
19642461995406,769
19642461995844,1100
19642461995968,33
19642461996644,390
19642611930288,488
19642616057467,231
19642616057475,178
19642616061246,190
19642871930601,748
19642871936384,117
19642871938166,853
19642876011399,189
19642876011456,159
19642876011472,144
19642876096135,282
19642876110043,61
19642951936491,14
19642956057483,60
19642956057491,220
19643030128306,19
19643031930775,951
19643031935618,1125
19643031938190,92
19643031995679,8
19643291931088,757
19643291937598,20
19643291937739,639
19643296011860,413
19643296071385,276
19643456106215,247
19643521930239,52
19643521933951,956
19643521934926,1374
19643521935048,1403
19644441932201,845
19644446057608,539
19644856012991,348
19644856013015,204
19644856013023,136
19645016013155,191
19645016013171,176
19645016013197,120
19645016013247,128
19645016013296,155
19645270133835,73
19645271932698,180
19645271932706,960
19645276057681,182
19645276061287,203
19645276061295,231
19645681932144,1000
19645681933472,160
19645681933530,961
19645681934082,686
19645681996131,594
19645686057715,305
19645686057723,365
19645686061303,630
19645686061311,393
19645920100354,259
19645926013965,127
19645926014021,93
19645926115265,124
19646006095434,155
19646341996586,293
19646426014583,4
19646426014591,18
19646426105969,21
19646426106272,35
19646426108542,16
19646830101154,743
19646830116129,56
19646831930080,1636
19646831931781,1569
19646836014781,853
19646836066765,893
19646910112144,281
19646911996438,421
19646916014922,332
19647090100602,553
19647091996313,295
19647330100867,181
19647330101444,19
19647330101675,299
19647330102434,275
19647330106831,306
19647330106849,277
19647330109447,94
19647330109454,139
19647330111500,206
19647330111575,294
19647330111583,274
19647330111625,261
19647330112011,52
19647330112045,111
19647330114850,78
19647330117069,41
19647330117762,83
19647330118588,628
19647330119651,116
19647330122408,48
19647330122416,38
19647330122481,177
19647330122499,133
19647330123992,127
19647330124008,157
19647330124016,200
19647330124024,178
19647330124396,30
19647330124479,105
19647330124883,255
19647330125609,119
19647330125625,74
19647330125641,169
19647330125971,73
19647330125989,46
19647330126466,68
19647330126490,103
19647330126607,47
19647330126615,139
19647330127795,112
19647330128512,178
19647330129270,146
19647331930650,109
19647331930866,81
19647331931047,1552
19647331931435,62
19647331931450,15
19647331931468,98
19647331931476,25
19647331931526,130
19647331931682,60
19647331932821,71
19647331932920,124
19647331933043,118
19647331933118,95
19647331933241,53
19647331933381,131
19647331933795,88
19647331933852,12
19647331934157,102
19647331934371,101
19647331935121,107
19647331935352,126
19647331935519,109
19647331935568,72
19647331936160,188
19647331937226,125
19647331937424,94
19647331937622,78
19647331938968,96
19647331939040,115
19647331939305,96
19647331939941,73
19647336016349,45
19647336019632,48
19647336057855,66
19647336057913,54
19647336057947,52
19647336057962,55
19647336058002,43
19647336058051,288
19647336058101,47
19647336058135,47
19647336058143,68
19647336058168,66
19647336058176,48
19647336058291,178
19647336058317,54
19647336058366,68
19647336061410,54
19647336061451,199
19647336061485,48
19647336061501,46
19647336061527,65
19647336061550,65
19647336061568,105
19647336062699,32
19647336066294,38
19647336068431,53
19647336115794,71
19647336118186,57
19647901935899,34
19647901935923,559
19647901996404,18
19647906020432,192
19647906020481,185
19648080124552,277
19648081930155,1199
19648081930825,1132
19648081935998,1134
19648081938927,56
19648081996388,68
19648086020572,287
19648086020648,108
19648086058408,335
19648086058416,228
19648086058432,262
19648086085674,362
19648086085682,242
19648166020705,285
19648166020762,46
19648166110571,161
19648570105981,189
19648570116558,15
19648570126268,405
19648576105613,143
19648576111546,97
19648576115281,341
19648576119143,65
19648730102681,182
19648730119438,235
19648730119446,260
19648731936749,1707
19648731936756,47
19648731996107,17
19648736021414,122
19648736114615,275
19648810000003,26
19648810118075,30
19648810127746,126
19648811931062,299
19648811931674,680
19648811936103,176
19648811936806,129
19648811936822,770
19648816021752,202
19648816058465,82
19648816058499,163
19648816120265,109
19649070111054,95
19649071933175,371
19649071933324,734
19649071936772,139
19649071937028,1062
19649071995901,486
19649071996495,145
19649076021851,35
19649076021885,74
19649076021950,41
19649076058507,191
19649076058515,173
19649076058523,267
19649076061634,369
19649076061642,137
19649076066781,336
19649076108914,75
19649316022198,139
19649641937754,251
19649646022503,257
19649801933373,25
19649801938000,1118
19649801995737,362
19649806058531,368
19649806061659,307
19649806093538,24
19650376022859,288
19651020110098,170
19651026023568,238
19651026071690,798
19651026110837,683
19651106023659,162
19651106023725,226
19651516106561,157
19734450122465,121
19734451934801,520
19734451935246,891
19734451939834,588
19734451939925,378
19734451996560,162
19734456014179,96
19734456014252,67
19734456014294,192
19734456014310,211
19734456014328,146
19734456014351,145
19734456014377,225
19734456022263,115
19734456068811,76
19734520125005,155
19734521930106,65
19734521936228,903
19734521937564,958
19734526022214,283
19734526022248,262
19734526022404,78
19734526103352,111
19753331935808,1042
19753336115307,432
19753410116285,7
19753411937143,1333
19753411995752,29
19753416021992,307
19753416022081,357
19768696023832,285
20651856024111,19
20651856101521,36
20764140115527,2
20764140115550,12
20764142030013,289
20764142030104,2
20764146023915,43
20764146110019,48
21654336024673,112
21733612134310,64
21733616024921,49
21733616024954,19
23655402330900,71
23655576025092,27
23655812333185,58
23655816025167,32
23656150128280,13
23656152334704,81
23656152335024,287
23656156025233,248
23656156114581,102
23656232335487,156
23656236025282,87
23739162332260,68
23739166025308,51
24656310126771,25
24656316025357,165
24656982430080,32
24656982430106,2
24656982432409,321
24656986109458,177
24657890107672,96
24657890127373,747
24657892430049,27
24657892430098,551
24657892430205,833
24657892430601,780
24657892433605,572
24657892435204,691
24657892439602,209
24658626025811,265
24736192430031,11
24736192431807,261
24736196103766,110
24753172430015,35
24753172431203,247
24753176025423,151
24753660114538,3
24753660131862,427
24753662430114,679
24753662430197,32
27102722730117,20
27102722730232,5
27102722730265,153
27659872730414,387
27659876026033,140
27660920111435,228
27660920129239,28
27660922732253,45
27660922732808,487
27660922735348,469
27660926058713,197
27660926058739,201
27660926058747,199
27661342731115,19
27661342733657,271
27661346058754,172
27661590124610,1
27661592730109,1003
27661592730166,472
27661592730273,4
27661592733178,572
27661592734481,137
27661592734556,743
27661596058762,542
27661596058770,576
27661596110753,569
27661596118129,466
27738252730034,470
27738252730125,64
27738252730141,62
27738256026421,286
27754732730067,4
27754732730885,334
27754736026090,151
28102802830099,78
28662412831758,158
28662586026751,10
28662660101568,261
28662660101964,111
28662660121087,658
28662662830016,853
28662662830115,178
28662662830149,143
28662662835601,841
28662666058788,283
28662666058796,272
28662666113302,113
28662666115240,322
28662902837102,186
28662906027031,239
29102980114322,28
29102980114330,40
29102980114975,28
29102980116681,6
29102980116913,2
29102980126219,45
29663160125013,7
29663166027080,15
29663246027098,16
29663326027122,119
29663406027148,221
29663406112593,9
29663570112367,58
29663570124834,144
29663572930030,53
29663572930048,285
29663572930071,97
29663572930089,33
29663572935500,649
29663736094981,124
29664070128629,55
29664156089403,6
29768776027171,27
29768776027189,15
29768776111371,27
30665143030335,41
30665143030855,825
30665143032505,882
30665143033362,1017
30665143033610,181
30665143037090,895
30665143037348,794
30665143037496,1070
30665223030103,110
30665223030434,1050
30665223032752,1089
30665223033578,1018
30665223033933,756
30665223035581,780
30665223035706,856
30665223036555,836
30665226028237,300
30665226028302,301
30665226028450,274
30665226028468,288
30665226028476,324
30665226028534,261
30665226028559,350
30665226028625,261
30665226028740,323
30665226028773,315
30666700000011,1
30666700108365,1370
30666700108373,111
30666700114736,1264
30666700132852,34
30666703030475,150
30666703030491,528
30666703030608,162
30666703034998,142
30666703035821,889
30666703036357,1527
30666703036456,740
30666706030407,102
30666706030415,324
30666706058978,302
30666706058986,352
30666706061741,387
30666706061758,229
30666706094684,308
30666706102826,14
