
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)"
="",="va_4yrela",="va_4yrela",="va_4yrela",="va_4yrela",="va_4yrela",="va_4yrela",="va_4yrela",="va_4yrela",="va_4yrela",="va_4yrela",="va_4yrela"

="qoi9mean_pooled",="-0.0260*",="",="",="",="",="",="",="",="",="",=""
="",="(-2.00)",="",="",="",="",="",="",="",="",="",=""

="qoi15mean_pooled",="",="-0.0157",="",="",="",="",="",="",="",="",=""
="",="",="(-1.50)",="",="",="",="",="",="",="",="",=""

="qoi16mean_pooled",="",="",="-0.0162",="",="",="",="",="",="",="",=""
="",="",="",="(-1.42)",="",="",="",="",="",="",="",=""

="qoi17mean_pooled",="",="",="",="-0.000229",="",="",="",="",="",="",=""
="",="",="",="",="(-0.02)",="",="",="",="",="",="",=""

="qoi27mean_pooled",="",="",="",="",="-0.00458",="",="",="",="",="",=""
="",="",="",="",="",="(-0.36)",="",="",="",="",="",=""

="qoi30mean_pooled",="",="",="",="",="",="-0.0339**",="",="",="",="",=""
="",="",="",="",="",="",="(-3.02)",="",="",="",="",=""

="qoi31mean_pooled",="",="",="",="",="",="",="-0.0178",="",="",="",=""
="",="",="",="",="",="",="",="(-1.56)",="",="",="",=""

="qoi32mean_pooled",="",="",="",="",="",="",="",="-0.0103",="",="",=""
="",="",="",="",="",="",="",="",="(-0.77)",="",="",=""

="qoi33mean_pooled",="",="",="",="",="",="",="",="",="-0.00385",="",=""
="",="",="",="",="",="",="",="",="",="(-0.26)",="",=""

="qoi34mean_pooled",="",="",="",="",="",="",="",="",="",="-0.0388**",=""
="",="",="",="",="",="",="",="",="",="",="(-2.98)",=""

="qoi64mean_pooled",="",="",="",="",="",="",="",="",="",="",="-0.0300**"
="",="",="",="",="",="",="",="",="",="",="",="(-3.00)"

="_cons",="0.0308",="0.0155",="0.0149",="-0.0152",="-0.00702",="0.0529*",="0.0183",="0.00508",="-0.00873",="0.0601*",="0.0412*"
="",="(1.31)",="(0.73)",="(0.68)",="(-0.60)",="(-0.29)",="(2.37)",="(0.83)",="(0.20)",="(-0.33)",="(2.41)",="(2.14)"

="N",="386",="385",="386",="386",="386",="342",="386",="314",="386",="341",="383"

="t statistics in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
