
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)"
="",="va_4yrmath",="va_4yrmath",="va_4yrmath",="va_4yrmath",="va_4yrmath",="va_4yrmath",="va_4yrmath",="va_4yrmath",="va_4yrmath",="va_4yrmath",="va_4yrmath"

="qoi9mean_pooled",="-0.0347**",="",="",="",="",="",="",="",="",="",=""
="",="(-2.63)",="",="",="",="",="",="",="",="",="",=""

="qoi15mean_pooled",="",="-0.0150",="",="",="",="",="",="",="",="",=""
="",="",="(-1.35)",="",="",="",="",="",="",="",="",=""

="qoi16mean_pooled",="",="",="-0.0213",="",="",="",="",="",="",="",=""
="",="",="",="(-1.75)",="",="",="",="",="",="",="",=""

="qoi17mean_pooled",="",="",="",="-0.0104",="",="",="",="",="",="",=""
="",="",="",="",="(-0.78)",="",="",="",="",="",="",=""

="qoi27mean_pooled",="",="",="",="",="-0.00880",="",="",="",="",="",=""
="",="",="",="",="",="(-0.69)",="",="",="",="",="",=""

="qoi30mean_pooled",="",="",="",="",="",="-0.0318**",="",="",="",="",=""
="",="",="",="",="",="",="(-2.79)",="",="",="",="",=""

="qoi31mean_pooled",="",="",="",="",="",="",="-0.0215",="",="",="",=""
="",="",="",="",="",="",="",="(-1.76)",="",="",="",=""

="qoi32mean_pooled",="",="",="",="",="",="",="",="-0.0184",="",="",=""
="",="",="",="",="",="",="",="",="(-1.50)",="",="",=""

="qoi33mean_pooled",="",="",="",="",="",="",="",="",="-0.0199",="",=""
="",="",="",="",="",="",="",="",="",="(-1.40)",="",=""

="qoi34mean_pooled",="",="",="",="",="",="",="",="",="",="-0.0426**",=""
="",="",="",="",="",="",="",="",="",="",="(-3.19)",=""

="qoi64mean_pooled",="",="",="",="",="",="",="",="",="",="",="-0.0304**"
="",="",="",="",="",="",="",="",="",="",="",="(-3.11)"

="_cons",="0.0485*",="0.0164",="0.0266",="0.00660",="0.00337",="0.0508*",="0.0277",="0.0235",="0.0232",="0.0692**",="0.0439*"
="",="(2.05)",="(0.74)",="(1.15)",="(0.26)",="(0.14)",="(2.27)",="(1.17)",="(0.98)",="(0.89)",="(2.73)",="(2.36)"

="N",="344",="343",="344",="344",="344",="300",="344",="272",="344",="299",="341"

="t statistics in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
