
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)"
="",="va_4yr",="va_4yr",="va_4yr",="va_4yr",="va_4yr",="va_4yr",="va_4yr",="va_4yr",="va_4yr",="va_4yr",="va_4yr"

="qoi9mean_pooled",="-0.0684***",="",="",="",="",="",="",="",="",="",=""
="",="(-4.68)",="",="",="",="",="",="",="",="",="",=""

="qoi15mean_pooled",="",="-0.0369**",="",="",="",="",="",="",="",="",=""
="",="",="(-2.97)",="",="",="",="",="",="",="",="",=""

="qoi16mean_pooled",="",="",="-0.0533***",="",="",="",="",="",="",="",=""
="",="",="",="(-3.93)",="",="",="",="",="",="",="",=""

="qoi17mean_pooled",="",="",="",="-0.0328*",="",="",="",="",="",="",=""
="",="",="",="",="(-2.18)",="",="",="",="",="",="",=""

="qoi27mean_pooled",="",="",="",="",="-0.0336*",="",="",="",="",="",=""
="",="",="",="",="",="(-2.33)",="",="",="",="",="",=""

="qoi30mean_pooled",="",="",="",="",="",="-0.0614***",="",="",="",="",=""
="",="",="",="",="",="",="(-4.88)",="",="",="",="",=""

="qoi31mean_pooled",="",="",="",="",="",="",="-0.0475***",="",="",="",=""
="",="",="",="",="",="",="",="(-3.46)",="",="",="",=""

="qoi32mean_pooled",="",="",="",="",="",="",="",="-0.0413**",="",="",=""
="",="",="",="",="",="",="",="",="(-2.96)",="",="",=""

="qoi33mean_pooled",="",="",="",="",="",="",="",="",="-0.0511**",="",=""
="",="",="",="",="",="",="",="",="",="(-3.22)",="",=""

="qoi34mean_pooled",="",="",="",="",="",="",="",="",="",="-0.0771***",=""
="",="",="",="",="",="",="",="",="",="",="(-5.26)",=""

="qoi64mean_pooled",="",="",="",="",="",="",="",="",="",="",="-0.0496***"
="",="",="",="",="",="",="",="",="",="",="",="(-4.55)"

="_cons",="0.107***",="0.0588*",="0.0850**",="0.0479",="0.0491",="0.107***",="0.0758**",="0.0662*",="0.0790**",="0.133***",="0.0783***"
="",="(4.08)",="(2.35)",="(3.32)",="(1.65)",="(1.78)",="(4.33)",="(2.87)",="(2.43)",="(2.69)",="(4.78)",="(3.77)"

="N",="345",="344",="345",="345",="345",="301",="345",="272",="345",="300",="342"

="t statistics in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
