cdscode,freq1718
1611276090161,34
1611276095376,7
1611500132225,79
1611500135533,12
1611506090351,25
1611506090369,23
1611506090385,37
1611506090393,23
1611506090401,41
1611506090419,9
1611506090435,19
1611506090468,40
1611506090484,20
1611506097653,75
1611506113005,13
1611680132746,12
1611686090492,29
1611920111815,6
1611920133629,23
1611926000889,12
1611926000913,25
1611926000921,6
1611926000947,4
1611926000962,9
1611926000988,2
1611926001044,4
1611926001051,2
1611926001101,28
1611926001127,4
1611926001176,3
1611926056931,10
1611926056956,9
1611926056972,8
1611926062160,7
1611926090583,28
1611926104566,5
1612000130393,8
1612000132670,24
1612000133397,41
1612000134536,104
1612000135376,13
1612006001234,56
1612006001242,33
1612006001259,10
1612006001283,35
1612006001291,22
1612006001317,24
1612006001341,25
1612006071906,33
1612006085773,36
1612006089338,19
1612006097661,3
1612006110332,20
1612006117543,21
1612340130054,61
1612340135426,18
1612346001440,20
1612346001473,12
1612346001481,21
1612346001507,5
1612346001523,8
1612346001531,1
1612346102917,2
1612596932784,120
1612750130286,12
1613090000013,8
1613090111799,13
1613090130849,19
1613090137745,9
1613090137810,41
1613096002505,24
1613096002513,29
1613096002521,25
1613096002539,21
1613096002547,14
1613096002554,39
1613096002562,29
1613096002604,9
1613096002612,19
1613096002620,21
1613096002653,33
1613096002703,36
1750930114579,8
1750930123935,38
1750930125930,80
1750930131615,3
1750930138453,9
1750936001374,13
1750936001390,27
1750936001424,9
1750936066484,25
1750936118038,1
1751010130096,111
1751010130252,21
1751010130583,142
1751016001366,28
1751016001416,44
1751016002315,20
1751016002323,43
1751016002349,43
1751016002356,26
1751016066500,54
1751016089361,27
1751016108971,51
1751016114318,33
1751016117592,67
1751016117600,42
2613336002794,7
4614080430827,25
4614086002943,20
4614240111039,1
4614240123976,1
4614240430199,3
4614240431502,4
4614240437558,107
4614246116610,29
4614996003198,16
4615150430140,6
4615150437566,9
4615496003354,13
4755070433946,5
4755070433953,21
4755076003156,16
4755076003164,28
4755076003172,39
5100580530048,15
5615560530014,1
5615560532507,57
5615640530022,5
5615640531509,17
5615646105431,20
5615726003388,26
5615726003461,40
5615806003396,13
5615806088975,30
5615806111884,25
6616060133223,2
6616060634758,8
6616066003503,5
6616140635250,15
6616146003511,24
6616146003537,4
6616146103576,22
7616480100461,12
7616480100479,18
7616480106583,19
7616480110494,16
7616480113761,20
7616480117218,22
7616480730101,9
7616480730259,13
7616480730465,47
7616480730861,56
7616486003578,11
7616486003594,13
7616486003602,19
7616486003610,20
7616486003628,23
7616486003636,16
7616486057178,30
7616486061154,48
7616486084941,21
7616486108989,18
7616486110514,26
7616486113104,15
7616486115380,12
7616486117501,29
7616550108019,37
7616550110528,64
7616550127464,41
7616556003644,48
7616556003651,59
7616556070981,58
7616556109730,32
7616556112718,45
7616556117410,49
7616556119754,47
7616970737023,22
7616976003685,18
7616976003701,34
7617056003719,11
7617210107797,65
7617210730457,105
7617210730572,22
7617210733980,88
7617210733998,11
7617390730440,9
7617390730473,6
7617390730549,64
7617396003826,27
7617396003834,37
7617396003842,42
7617396003875,28
7617396057186,51
7617540000015,4
7617540106088,28
7617540135822,10
7617540730044,27
7617540730333,6
7617540730358,6
7617540730416,15
7617540730424,14
7617540730655,1
7617540731646,64
7617540731836,73
7617540734566,49
7617540734764,52
7617540737809,33
7617546003958,20
7617546003966,32
7617546003974,24
7617546003982,8
7617546004030,44
7617546004048,18
7617546004055,28
7617546004063,19
7617546004097,22
7617546004105,27
7617546004154,43
7617546004162,23
7617546004170,19
7617546004188,31
7617546004196,14
7617546004220,27
7617546004238,4
7617546004246,50
7617546004253,29
7617546004261,39
7617546004295,17
7617546004303,19
7617546004311,22
7617546004329,21
7617546004337,24
7617546004345,22
7617546004352,29
7617546004360,37
7617546004378,36
7617546004394,14
7617546004402,46
7617546004410,26
7617546096226,22
7617546105357,40
7617546111504,33
7617546112395,19
7617546114904,88
7617706004444,32
7617706004451,21
7617706004477,51
7617706004501,14
7617706066583,25
7617880116863,11
7617880125435,48
7617880730184,17
7617880735407,144
7617886004527,20
7617886004535,28
7617886004543,25
7617886004568,26
7617886004576,29
7617886061162,55
7617886084966,43
7617886098578,37
7617886109383,25
7617960730291,10
7617960730325,13
7617960730598,39
7617960732164,46
7617960732941,62
7617960733253,15
7617960733659,61
7617960735316,57
7617960735902,64
7617966004600,38
7617966004659,12
7617966004667,2
7617966004691,16
7617966004733,5
7617966004741,18
7617966004758,4
7617966004766,4
7617966004774,27
7617966004782,24
7617966004808,17
7617966004824,15
7617966004840,5
7617966004857,33
7617966004865,20
7617966004873,21
7617966004881,25
7617966004899,12
7617966004907,34
7617966004915,19
7617966004931,18
7617966004956,20
7617966004964,28
7617966004972,24
7617966004980,23
7617966004998,31
7617966005003,13
7617966005011,23
7617966005037,18
7617966005045,23
7617966057210,27
7617966057228,38
7617966057236,24
7617966057244,25
7617966061170,27
7617966097141,17
7617966099717,18
7617966112015,20
7617966114094,21
7617966119515,26
7617966120885,36
8618200833004,16
8618206005375,15
8618206005391,1
8618206005417,1
8618206005441,1
8618206005458,14
8618206113013,12
9618466005482,39
9618530930164,36
9618530930214,1
9618530932756,2
9618530934554,14
9618530936302,86
9618796005508,22
9618796109698,9
9619780101519,14
9619780108258,6
9619786005706,17
9619786005714,9
9619786098693,10
9619786103527,7
9619786109441,16
10101086085112,35
10621096005839,22
10738091030121,23
10739650106476,27
10739650113993,29
10739650123943,14
10739650130690,20
10739651030386,18
10739651030626,55
10739651035112,18
10739656005789,2
10739656006654,17
10739656006910,30
10739656006936,31
10739656006944,32
10739656006951,10
10739656007389,19
10739656112023,26
10739656112775,27
10739656115521,31
10739656120521,8
10739656120539,34
10739991033430,43
10739996006688,35
10739996006696,38
10739996007371,26
10739996119978,5
10751270129163,34
10751271030261,2
10751271030493,50
10751276006969,34
10751276006977,15
10752750124123,15
10752750124586,62
10752751030139,10
10752751036938,35
10754081035575,25
10754086007082,14
11101160124909,12
11101161130103,6
11625546007439,15
11625966007454,21
11626386007504,13
11626461136209,5
11626466089262,5
11626531132109,14
11626611130038,2
11626611132851,22
11626616007611,9
11754811135656,15
11765621133701,22
12101240106153,5
12101240106161,10
12101240106179,2
12101240106203,3
12626870107110,5
12626871230044,3
12626871230705,48
12626871235209,40
12627036007694,17
12628100108688,7
12628101233352,6
12628101233402,31
12628286007884,37
12628286116289,7
12628936007959,25
12629011230028,3
12629011234004,3
12629016007975,1
12629276008023,19
12629766008098,31
12630086008114,14
12630086008122,7
12630320124289,9
12630326008171,26
12753741232909,17
12753746007843,28
12768020124164,25
12768026007868,11
13630736008262,22
13630736008270,30
13630736008288,16
13630736008296,38
13630736008304,26
14632481431352,8
14632486008692,10
14633056008809,7
15101571530310,131
15633130113027,45
15633136008817,47
15633136008833,92
15633136110464,25
15634040112185,3
15634040127712,21
15634046009351,11
15634046115471,4
15634120100529,35
15634120116384,20
15634121531672,55
15634206009419,12
15634386009435,4
15634610107987,39
15634796101588,23
15634796104004,35
15634796109987,1
15634796112783,26
15635030101014,50
15635030120865,1
15635036009567,45
15635036112270,2
15635450122887,12
15635526009666,45
15635526115042,26
15635606009690,4
15635780107771,17
15635786009989,10
15635786010003,23
15635786090591,15
15636936103493,47
15637506010029,44
15637506117717,40
15637761534957,25
15637846010060,36
15638006010136,3
15638261530245,16
15638261536135,53
15638266010201,20
15638266057426,39
15638266105415,6
15638266108898,39
15638346010227,7
15638420113167,38
15638426010243,55
15638426010250,44
15638426010268,31
15638426110340,39
15638591530351,14
15638591536440,62
15735446010011,24
15737421530054,11
15737421531367,57
15737426009294,16
15737426009310,43
15737426009328,16
15737426009609,9
15737426009617,7
15737426009625,16
15737426009633,8
15737426110712,26
16638911632207,26
16638916010359,30
16638916010367,29
17640220132571,9
17640226010615,11
17640226010623,5
17640486010656,22
17640551736008,20
17640556010672,10
17640556105456,15
17640556107049,24
17640556110761,14
18640891831601,14
18640896010698,13
18641056010730,5
18641136010748,12
18641391833805,44
18641620135756,11
18641626010763,26
18641626010789,2
18641706010797,25
18641886010805,19
18641966010813,32
18641966010821,23
18641966109748,31
18642041838507,3
18642046010847,4
18750361833409,4
18750366010714,3
18750366096341,6
19101990121772,31
19101990127498,34
19101996116883,42
19642460100081,113
19642460108407,129
19642460111872,16
19642461930213,89
19642461931732,34
19642461936624,53
19642461937051,67
19642461995398,150
19642461995406,87
19642461995844,116
19642461995968,11
19642461996644,27
19642611995299,5
19642616011134,14
19642616011159,11
19642616011167,11
19642616011183,3
19642616011191,14
19642616057467,16
19642616061246,21
19642791930528,59
19642791931765,2
19642791933449,28
19642796011217,32
19642796011225,36
19642796011233,5
19642796011241,8
19642796011258,40
19642796011266,1
19642796011274,19
19642796011290,29
19642796011308,20
19642796011316,13
19642796011324,24
19642796011332,22
19642796011340,33
19642796011357,12
19642871938166,87
19642876011381,14
19642876011399,11
19642876011407,15
19642876011423,36
19642876011456,18
19642876011464,5
19642876011498,10
19642876011506,35
19642876011514,38
19642876110043,18
19643030128306,10
19643031930775,58
19643031935618,67
19643031938190,19
19643031995679,5
19643036011605,19
19643036011613,20
19643036011621,23
19643036011639,15
19643036011647,18
19643036011654,21
19643036011696,5
19643036011704,14
19643036011712,14
19643036057517,24
19643291931088,83
19643291937598,19
19643291937739,80
19643291995893,5
19643296011787,27
19643296011795,42
19643296011803,35
19643296011811,19
19643296011829,22
19643296011837,44
19643296011845,27
19643296011860,52
19643296071385,61
19643296110035,43
19643520118521,5
19643521930239,13
19643521933951,64
19643521934926,118
19643521935048,93
19645016013130,16
19645016013148,25
19645016013155,15
19645016013163,27
19645016013171,62
19645016013189,31
19645016013197,32
19645016013205,8
19645016013221,4
19645016013247,21
19645016013254,14
19645016013262,25
19645016013288,11
