="",="freq",="pct",="cumpct"
="Kindergarten",="12442",="7.98",="7.98"
="1st grade",="12056",="7.73",="15.71"
="2nd grade",="12512",="8.02",="23.73"
="3rd grade",="13536",="8.68",="32.41"
="4th grade",="13554",="8.69",="41.10"
="5th grade",="16602",="10.64",="51.74"
="6th grade",="11770",="7.55",="59.29"
="7th grade",="12568",="8.06",="67.35"
="8th grade",="9940",="6.37",="73.72"
="9th grade",="10899",="6.99",="80.71"
="10th grade",="9417",="6.04",="86.74"
="11th grade",="10262",="6.58",="93.32"
="12th grade",="8332",="5.34",="98.67"
="Other",="1740",="1.12",="99.78"
="Ungraded",="342",="0.22",="100.00"
="Total",="155972",="100.00",=""
="N",="155972",="",=""
