
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)"
="",="va_2yrdk",="va_2yrdk",="va_2yrdk",="va_2yrdk",="va_2yrdk",="va_2yrdk",="va_2yrdk",="va_2yrdk",="va_2yrdk",="va_2yrdk",="va_2yrdk",="va_2yrdk",="va_2yrdk",="va_2yrdk",="va_2yrdk"

="qoi10mean_pooled",="0.00643",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(0.76)",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="qoi20mean_pooled",="",="-0.0271**",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="(-3.28)",="",="",="",="",="",="",="",="",="",="",="",="",=""

="qoi24mean_pooled",="",="",="0.00149",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="(0.14)",="",="",="",="",="",="",="",="",="",="",="",=""

="qoi41mean_pooled",="",="",="",="-0.00290",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="(-0.34)",="",="",="",="",="",="",="",="",="",="",=""

="qoi44mean_pooled",="",="",="",="",="-0.00287",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="(-0.29)",="",="",="",="",="",="",="",="",="",=""

="qoi64mean_pooled",="",="",="",="",="",="0.0107",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="(1.07)",="",="",="",="",="",="",="",="",=""

="qoi87mean_pooled",="",="",="",="",="",="",="-0.0111",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="(-1.07)",="",="",="",="",="",="",="",=""

="qoi128mean_pooled",="",="",="",="",="",="",="",="0.00728",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="(1.07)",="",="",="",="",="",="",=""

="qoi98mean_pooled",="",="",="",="",="",="",="",="",="-0.00933",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="(-1.80)",="",="",="",="",="",=""

="qoi103mean_pooled",="",="",="",="",="",="",="",="",="",="-0.000768",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="(-0.04)",="",="",="",="",=""

="qoi104mean_pooled",="",="",="",="",="",="",="",="",="",="",="0.0157",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="(0.93)",="",="",="",=""

="qoi105mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="-0.00157",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="(-0.09)",="",="",=""

="qoi109mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="",="0.00362",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.20)",="",=""

="qoi111mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.00524",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.25)",=""

="qoi112mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.00801"
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.39)"

="_cons",="0.000137",="0.0583***",="0.0123",="0.0182",="0.0179",="-0.00976",="0.0360",="-0.00220",="0.0351**",="0.0139",="-0.0137",="0.0151",="0.00697",="0.00489",="-0.0000695"
="",="(0.01)",="(4.11)",="(0.65)",="(1.08)",="(0.97)",="(-0.42)",="(1.69)",="(-0.16)",="(2.75)",="(0.46)",="(-0.49)",="(0.52)",="(0.25)",="(0.16)",="(-0.00)"

="N",="562",="562",="419",="562",="562",="419",="519",="558",="562",="562",="562",="562",="562",="562",="562"

="t statistics in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
