
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)"
="",="va_2yr",="va_2yr",="va_2yr",="va_2yr",="va_2yr",="va_2yr",="va_2yr",="va_2yr",="va_2yr",="va_2yr",="va_2yr",="va_2yr",="va_2yr",="va_2yr",="va_2yr"

="qoi10mean_pooled",="0.00640",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(0.75)",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="qoi20mean_pooled",="",="-0.0273***",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="(-3.35)",="",="",="",="",="",="",="",="",="",="",="",="",=""

="qoi24mean_pooled",="",="",="0.000933",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="(0.08)",="",="",="",="",="",="",="",="",="",="",="",=""

="qoi41mean_pooled",="",="",="",="-0.00327",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="(-0.38)",="",="",="",="",="",="",="",="",="",="",=""

="qoi44mean_pooled",="",="",="",="",="-0.00299",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="(-0.30)",="",="",="",="",="",="",="",="",="",=""

="qoi64mean_pooled",="",="",="",="",="",="0.0121",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="(1.20)",="",="",="",="",="",="",="",="",=""

="qoi87mean_pooled",="",="",="",="",="",="",="-0.0109",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="(-1.04)",="",="",="",="",="",="",="",=""

="qoi128mean_pooled",="",="",="",="",="",="",="",="0.00744",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="(1.09)",="",="",="",="",="",="",=""

="qoi98mean_pooled",="",="",="",="",="",="",="",="",="-0.00913",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="(-1.76)",="",="",="",="",="",=""

="qoi103mean_pooled",="",="",="",="",="",="",="",="",="",="-0.00239",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="(-0.14)",="",="",="",="",=""

="qoi104mean_pooled",="",="",="",="",="",="",="",="",="",="",="0.0154",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="(0.91)",="",="",="",=""

="qoi105mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="-0.00385",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="(-0.22)",="",="",=""

="qoi109mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="",="0.00362",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.20)",="",=""

="qoi111mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.00357",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.17)",=""

="qoi112mean_pooled",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.00723"
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.35)"

="_cons",="0.000398",="0.0588***",="0.0135",="0.0192",="0.0183",="-0.0127",="0.0358",="-0.00231",="0.0348**",="0.0169",="-0.0130",="0.0191",="0.00718",="0.00753",="0.00136"
="",="(0.02)",="(4.20)",="(0.70)",="(1.13)",="(0.99)",="(-0.54)",="(1.67)",="(-0.16)",="(2.72)",="(0.56)",="(-0.46)",="(0.65)",="(0.26)",="(0.24)",="(0.04)"

="N",="563",="563",="419",="563",="563",="419",="519",="559",="563",="563",="563",="563",="563",="563",="563"

="t statistics in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
