
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)"
="",="va_4yr",="va_4yr",="va_4yr",="va_4yr",="va_4yr",="va_4yr",="va_4yr",="va_4yr",="va_4yr",="va_4yr",="va_4yr"

="qoi9mean_pooled",="-0.0306*",="",="",="",="",="",="",="",="",="",=""
="",="(-2.34)",="",="",="",="",="",="",="",="",="",=""

="qoi15mean_pooled",="",="-0.0196",="",="",="",="",="",="",="",="",=""
="",="",="(-1.86)",="",="",="",="",="",="",="",="",=""

="qoi16mean_pooled",="",="",="-0.0219",="",="",="",="",="",="",="",=""
="",="",="",="(-1.91)",="",="",="",="",="",="",="",=""

="qoi17mean_pooled",="",="",="",="-0.00254",="",="",="",="",="",="",=""
="",="",="",="",="(-0.19)",="",="",="",="",="",="",=""

="qoi27mean_pooled",="",="",="",="",="-0.00783",="",="",="",="",="",=""
="",="",="",="",="",="(-0.61)",="",="",="",="",="",=""

="qoi30mean_pooled",="",="",="",="",="",="-0.0383***",="",="",="",="",=""
="",="",="",="",="",="",="(-3.39)",="",="",="",="",=""

="qoi31mean_pooled",="",="",="",="",="",="",="-0.0217",="",="",="",=""
="",="",="",="",="",="",="",="(-1.89)",="",="",="",=""

="qoi32mean_pooled",="",="",="",="",="",="",="",="-0.00931",="",="",=""
="",="",="",="",="",="",="",="",="(-0.69)",="",="",=""

="qoi33mean_pooled",="",="",="",="",="",="",="",="",="-0.00651",="",=""
="",="",="",="",="",="",="",="",="",="(-0.45)",="",=""

="qoi34mean_pooled",="",="",="",="",="",="",="",="",="",="-0.0439***",=""
="",="",="",="",="",="",="",="",="",="",="(-3.35)",=""

="qoi64mean_pooled",="",="",="",="",="",="",="",="",="",="",="-0.0318**"
="",="",="",="",="",="",="",="",="",="",="",="(-3.15)"

="_cons",="0.0385",="0.0226",="0.0250",="-0.0114",="-0.00148",="0.0607**",="0.0252",="0.00273",="-0.00453",="0.0690**",="0.0439*"
="",="(1.63)",="(1.06)",="(1.14)",="(-0.45)",="(-0.06)",="(2.70)",="(1.13)",="(0.10)",="(-0.17)",="(2.75)",="(2.26)"

="N",="387",="386",="387",="387",="387",="343",="387",="314",="387",="342",="384"

="t statistics in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
