
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)"
="",="va_4yrmath",="va_4yrmath",="va_4yrmath",="va_4yrmath",="va_4yrmath",="va_4yrmath",="va_4yrmath",="va_4yrmath",="va_4yrmath",="va_4yrmath",="va_4yrmath"

="qoi9mean_pooled",="-0.0139",="",="",="",="",="",="",="",="",="",=""
="",="(-1.19)",="",="",="",="",="",="",="",="",="",=""

="qoi15mean_pooled",="",="-0.00960",="",="",="",="",="",="",="",="",=""
="",="",="(-1.02)",="",="",="",="",="",="",="",="",=""

="qoi16mean_pooled",="",="",="-0.00769",="",="",="",="",="",="",="",=""
="",="",="",="(-0.75)",="",="",="",="",="",="",="",=""

="qoi17mean_pooled",="",="",="",="0.00243",="",="",="",="",="",="",=""
="",="",="",="",="(0.21)",="",="",="",="",="",="",=""

="qoi27mean_pooled",="",="",="",="",="0.00258",="",="",="",="",="",=""
="",="",="",="",="",="(0.22)",="",="",="",="",="",=""

="qoi30mean_pooled",="",="",="",="",="",="-0.0215*",="",="",="",="",=""
="",="",="",="",="",="",="(-2.12)",="",="",="",="",=""

="qoi31mean_pooled",="",="",="",="",="",="",="-0.0107",="",="",="",=""
="",="",="",="",="",="",="",="(-1.05)",="",="",="",=""

="qoi32mean_pooled",="",="",="",="",="",="",="",="-0.000709",="",="",=""
="",="",="",="",="",="",="",="",="(-0.06)",="",="",=""

="qoi33mean_pooled",="",="",="",="",="",="",="",="",="0.00628",="",=""
="",="",="",="",="",="",="",="",="",="(0.48)",="",=""

="qoi34mean_pooled",="",="",="",="",="",="",="",="",="",="-0.0258*",=""
="",="",="",="",="",="",="",="",="",="",="(-2.18)",=""

="qoi64mean_pooled",="",="",="",="",="",="",="",="",="",="",="-0.0208*"
="",="",="",="",="",="",="",="",="",="",="",="(-2.32)"

="_cons",="0.00988",="0.00401",="-0.000503",="-0.0196",="-0.0198",="0.0290",="0.00556",="-0.0129",="-0.0263",="0.0357",="0.0247"
="",="(0.47)",="(0.21)",="(-0.03)",="(-0.87)",="(-0.91)",="(1.43)",="(0.28)",="(-0.56)",="(-1.11)",="(1.57)",="(1.43)"

="N",="386",="385",="386",="386",="386",="342",="386",="314",="386",="341",="383"

="t statistics in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
