="",="freq",="pct",="cumpct"
="6th",="4688",="0.99",="0.99"
="7th",="145275",="30.70",="31.69"
="8th",="14672",="3.10",="34.79"
="9th",="141666",="29.94",="64.73"
="10th",="18215",="3.85",="68.58"
="11th",="121194",="25.61",="94.19"
="12th",="14314",="3.03",="97.22"
="Non-traditional",="13166",="2.78",="100.00"
="Total",="473190",="100.00",=""
="N",="473190",="",=""
