="",="freq",="pct",="cumpct"
="6th",="5315",="0.82",="0.82"
="7th",="205794",="31.77",="32.59"
="8th",="15419",="2.38",="34.97"
="9th",="193787",="29.92",="64.89"
="10th",="26057",="4.02",="68.91"
="11th",="162863",="25.14",="94.06"
="12th",="20123",="3.11",="97.16"
="Non-traditional",="18364",="2.84",="100.00"
="Total",="647722",="100.00",=""
="N",="647722",="",=""
