="",="freq",="pct",="cumpct"
="6th",="5434",="1.07",="1.07"
="7th",="165956",="32.59",="33.66"
="8th",="14639",="2.88",="36.54"
="9th",="148280",="29.12",="65.66"
="10th",="21796",="4.28",="69.94"
="11th",="121986",="23.96",="93.90"
="12th",="18215",="3.58",="97.48"
="Non-traditional",="12842",="2.52",="100.00"
="Total",="509148",="100.00",=""
="N",="509148",="",=""
