="",="freq",="pct",="cumpct"
="6th",="5074",="0.91",="0.91"
="7th",="175756",="31.50",="32.41"
="8th",="13888",="2.49",="34.90"
="9th",="167629",="30.05",="64.95"
="10th",="20250",="3.63",="68.58"
="11th",="141346",="25.34",="93.91"
="12th",="15970",="2.86",="96.78"
="Non-traditional",="17989",="3.22",="100.00"
="Total",="557902",="100.00",=""
