="teacher in grade 4 or below"
="",="freq",="pct",="cumpct"
="Not marked",="17938",="54.21",="54.21"
="Marked",="15150",="45.79",="100.00"
="Total",="33088",="100.00",=""
="teacher in grade 5 or above"
="",="freq",="pct",="cumpct"
="Not marked",="25788",="77.94",="77.94"
="Marked",="7300",="22.06",="100.00"
="Total",="33088",="100.00",=""
="teacher in both above grade 5 and below grade 4"
="",="freq",="pct",="cumpct"
="0",="32692",="98.80",="98.80"
="1",="396",="1.20",="100.00"
="Total",="33088",="100.00",=""
="special education teacher"
="",="freq",="pct",="cumpct"
="Not marked",="30327",="91.66",="91.66"
="Marked",="2761",="8.34",="100.00"
="Total",="33088",="100.00",=""
