="Regression of Outcome on ELA VA on Sibling Census Restricted Sample"

="",="Overall Enrollment",="",="",="",="2 Year Enrollment",="",="",="",="4 Year Enrollment",="",="",=""
="",="Original w/ Census Leave Out",="Original w/ Sibling Leave Out",="Census w/ Sibling Leave Out",="Sibling w/ Census Leave Out",="Original w/ Census Leave Out",="Original w/ Sibling Leave Out",="Census w/ Sibling Leave Out",="Sibling w/ Census Leave Out",="Original w/ Census Leave Out",="Original w/ Sibling Leave Out",="Census w/ Sibling Leave Out",="Sibling w/ Census Leave Out"

="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="1.eth_other",="-0.011*",="-0.011*",="-0.011*",="-0.011*",="0.001",="0.001",="0.001",="0.001",="-0.012*",="-0.012*",="-0.012*",="-0.012*"
="",="(0.004)",="(0.004)",="(0.004)",="(0.004)",="(0.006)",="(0.006)",="(0.006)",="(0.006)",="(0.006)",="(0.006)",="(0.006)",="(0.006)"

="0.econ_disadvantage",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="1.econ_disadvantage",="-0.066***",="-0.066***",="-0.066***",="-0.066***",="-0.026***",="-0.026***",="-0.026***",="-0.026***",="-0.040***",="-0.040***",="-0.040***",="-0.040***"
="",="(0.003)",="(0.003)",="(0.003)",="(0.003)",="(0.004)",="(0.004)",="(0.004)",="(0.004)",="(0.004)",="(0.004)",="(0.004)",="(0.004)"

="0.limited_eng_prof",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="1.limited_eng_prof",="-0.050***",="-0.050***",="-0.050***",="-0.050***",="-0.025***",="-0.025***",="-0.025***",="-0.025***",="-0.025***",="-0.025***",="-0.025***",="-0.025***"
="",="(0.006)",="(0.006)",="(0.006)",="(0.006)",="(0.006)",="(0.006)",="(0.006)",="(0.006)",="(0.003)",="(0.003)",="(0.003)",="(0.003)"

="0.disabled",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="1.disabled",="-0.015**",="-0.015**",="-0.015**",="-0.015**",="0.032***",="0.032***",="0.032***",="0.032***",="-0.047***",="-0.047***",="-0.047***",="-0.047***"
="",="(0.005)",="(0.005)",="(0.005)",="(0.005)",="(0.005)",="(0.005)",="(0.005)",="(0.005)",="(0.003)",="(0.003)",="(0.003)",="(0.003)"

="2015.year#c.prior_ela_z_score",="0.080***",="0.080***",="0.080***",="0.080***",="-0.062***",="-0.062***",="-0.062***",="-0.062***",="0.142***",="0.142***",="0.142***",="0.142***"
