cdscode,freq1617
1611920111815,10
1611920133009,9
1611920133629,11
1611920135319,69
1611926000889,4
1611926000905,6
1611926000913,11
1611926000921,3
1611926000962,20
1611926000988,3
1611926000996,7
1611926001044,14
1611926001051,6
1611926001093,18
1611926001101,15
1611926001127,2
1611926001135,9
1611926001176,15
1611926001192,7
1611926056931,11
1611926056949,13
1611926056956,10
1611926056972,4
1611926062160,14
1611926066476,13
1611926104566,12
1612590106906,25
2613336002794,19
3100330129692,3
3739810330019,3
3739810334755,17
3739816002810,19
3739816002828,13
3739816002844,14
3739816002851,10
3739816002869,8
3739816002877,21
3739816107387,16
3739816107395,11
5615640531509,31
5615646105431,16
5615726003388,15
5615726003461,26
5615806111884,22
6615980630012,6
6615980631259,25
6615986003495,31
6615986057152,25
7616480100461,31
7616480106583,25
7616480110494,11
7616480113761,38
7616480730101,5
7616480730259,18
7616480730465,2
7616480730861,30
7616486003594,10
7616486003602,18
7616486003610,20
7616486003628,25
7616486003636,21
7616486057178,37
7616486084941,19
7616486108989,12
7616486113104,29
7616486115380,29
7616486117501,41
7617050133769,7
7617056003719,10
7617210107797,125
7617210730457,74
7617210730572,19
7617210733980,87
7617210733998,11
7617390730440,9
7617390730549,61
7617396003826,25
7617396003834,24
7617396003842,12
7617396003875,20
7617396057186,50
7617476003909,29
7617476003917,38
7617476003925,34
7617476003933,24
7617960730291,9
7617960730325,11
7617960730598,49
7617960732164,5
7617960732941,40
7617960733253,20
7617960733659,29
7617960735316,24
7617960735902,11
7617966004600,1
7617966004659,8
7617966004667,12
7617966004691,27
7617966004733,8
7617966004741,5
7617966004758,5
7617966004774,27
7617966004782,20
7617966004808,13
7617966004824,15
7617966004840,7
7617966004857,17
7617966004865,18
7617966004873,23
7617966004881,21
7617966004899,15
7617966004907,13
7617966004915,17
7617966004931,13
7617966004956,4
7617966004964,8
7617966004972,9
7617966004998,46
7617966005003,13
7617966005011,16
7617966005037,9
7617966005045,22
7617966057210,27
7617966057228,44
7617966057236,37
7617966057244,20
7617966061170,21
7617966097141,25
7617966099717,1
7617966112015,21
7617966114094,26
7617966119515,19
7617966120885,31
9618460123125,4
9618466005482,24
9618796005508,11
9618796109698,9
9619030930040,1
9619030930107,1
9619030937805,34
9619036005565,26
9619780101519,18
9619780108258,20
9619786005706,22
9619786005714,13
9619786098693,21
9619786103527,27
9619786109441,16
10101081030337,14
10101081030899,13
10621251031376,39
10621256005961,2
10621256005979,3
10621256057269,4
10621256113849,9
10738096006019,13
10739650113993,35
10739650123943,34
10739650130690,14
10739651030386,7
10739651030626,86
10739651035112,16
10739656006654,2
10739656006936,25
10739656006951,9
