="",="freq",="pct",="cumpct"
="Kindergarten",="11911",="10.49",="10.49"
="1st grade",="10017",="8.82",="19.31"
="2nd  grade",="9655",="8.50",="27.82"
="3rd grade",="10720",="9.44",="37.26"
="4th grade",="11571",="10.19",="47.45"
="5th  grade",="9602",="8.46",="55.90"
="6th grade",="7498",="6.60",="62.51"
="7th grade",="7780",="6.85",="69.36"
="8th grade",="6660",="5.87",="75.22"
="9th grade",="7261",="6.39",="81.62"
="10th grade",="6556",="5.77",="87.39"
="11th grade",="7455",="6.57",="93.96"
="12th grade",="5628",="4.96",="98.92"
="Other",="969",="0.85",="99.77"
="Ungraded",="262",="0.23",="100.00"
="Total",="113545",="100.00",=""
