="",="freq",="pct",="cumpct"
="Kindergarten",="4171",="6.22",="6.22"
="1st grade",="4571",="6.82",="13.04"
="2nd  grade",="4884",="7.29",="20.33"
="3rd grade",="5224",="7.79",="28.12"
="4th grade",="5802",="8.66",="36.78"
="5th  grade",="8030",="11.98",="48.76"
="6th grade",="5033",="7.51",="56.27"
="7th grade",="5798",="8.65",="64.92"
="8th grade",="4635",="6.92",="71.84"
="9th grade",="5516",="8.23",="80.07"
="10th grade",="4465",="6.66",="86.73"
="11th grade",="4946",="7.38",="94.11"
="12th grade",="3461",="5.16",="99.27"
="Other",="380",="0.57",="99.84"
="Ungraded",="108",="0.16",="100.00"
="Total",="67024",="100.00",=""
="N",="67024",="",=""
