="teacher in grade 4 or below"
="",="freq",="pct",="cumpct"
="Not marked",="29044",="53.67",="53.67"
="Marked",="25068",="46.33",="100.00"
="Total",="54112",="100.00",=""
="teacher in grade 5 or above"
="",="freq",="pct",="cumpct"
="Not marked",="43304",="80.03",="80.03"
="Marked",="10808",="19.97",="100.00"
="Total",="54112",="100.00",=""
="teacher in both above grade 5 and below grade 4"
="",="freq",="pct",="cumpct"
="0",="53464",="98.80",="98.80"
="1",="648",="1.20",="100.00"
="Total",="54112",="100.00",=""
="special education teacher"
="",="freq",="pct",="cumpct"
="Not marked",="49836",="92.10",="92.10"
="Marked",="4276",="7.90",="100.00"
="Total",="54112",="100.00",=""
