="teacher in grade 4 or below"
="",="freq",="pct",="cumpct"
="Not marked",="41686",="76.99",="76.99"
="Marked",="12456",="23.01",="100.00"
="Total",="54142",="100.00",=""
="teacher in grade 5 or above"
="",="freq",="pct",="cumpct"
="Not marked",="33574",="62.01",="62.01"
="Marked",="20568",="37.99",="100.00"
="Total",="54142",="100.00",=""
="teacher in both above grade 5 and below grade 4"
="",="freq",="pct",="cumpct"
="0",="53440",="98.70",="98.70"
="1",="702",="1.30",="100.00"
="Total",="54142",="100.00",=""
="special education teacher"
="",="freq",="pct",="cumpct"
="Not marked",="49685",="91.77",="91.77"
="Marked",="4457",="8.23",="100.00"
="Total",="54142",="100.00",=""
