="",="freq",="pct",="cumpct"
="3rd",="2342",="1.75",="1.75"
="4th",="4364",="3.27",="5.02"
="5th",="120198",="90.03",="95.05"
="6th",="6608",="4.95",="100.00"
="Total",="133512",="100.00",=""
="N",="133512",="",=""
