="",="freq",="pct",="cumpct"
="3rd",="1308",="1.29",="1.29"
="4th",="2803",="2.76",="4.05"
="5th",="93564",="92.19",="96.24"
="6th",="3815",="3.76",="100.00"
="Total",="101490",="100.00",=""
="N",="101490",="",=""
