="",="freq",="pct",="cumpct"
="6th",="3732",="1.07",="1.07"
="7th",="115167",="33.17",="34.24"
="8th",="7398",="2.13",="36.37"
="9th",="103731",="29.87",="66.25"
="10th",="13869",="3.99",="70.24"
="11th",="84351",="24.29",="94.54"
="12th",="9829",="2.83",="97.37"
="Non-traditional",="9140",="2.63",="100.00"
="Total",="347217",="100.00",=""
="N",="347217",="",=""
