="",="freq",="pct",="cumpct"
="3rd",="339",="0.31",="0.31"
="4th",="2615",="2.42",="2.74"
="5th",="99763",="92.51",="95.24"
="6th",="5129",="4.76",="100.00"
="Total",="107846",="100.00",=""
