="",="freq",="pct",="cumpct"
="3rd",="378",="0.54",="0.54"
="4th",="2505",="3.55",="4.09"
="5th",="65660",="93.13",="97.22"
="6th",="1960",="2.78",="100.00"
="Total",="70503",="100.00",=""
="N",="70503",="",=""
