="",="freq",="pct",="cumpct"
="3rd",="1238",="1.31",="1.31"
="4th",="2868",="3.03",="4.34"
="5th",="87088",="92.01",="96.35"
="6th",="3459",="3.65",="100.00"
="Total",="94653",="100.00",=""
